String,SIMPLE_NAME, line no: 73,String,SIMPLE_NAME, line no: 49, 0.0313, insert, 0.7692307692307693, 0.0, 1.0
format,SIMPLE_NAME, line no: 73,format,SIMPLE_NAME, line no: 63, 0.0313, insert, 1.0, 0.0, 1.0
A.value=scanner.nextDouble(); ,EXPRESSION_STATEMENT, line no: 65,A.value=scanner.nextDouble(); ,EXPRESSION_STATEMENT, line no: 65, 0.027166666666666665, insert, 1.0, 3.0, 1.0
B.value=scanner.nextDouble(); ,EXPRESSION_STATEMENT, line no: 66,B.value=scanner.nextDouble(); ,EXPRESSION_STATEMENT, line no: 66, 0.027166666666666665, insert, 1.0, 3.0, 1.0
C.value=scanner.nextDouble(); ,EXPRESSION_STATEMENT, line no: 67,C.value=scanner.nextDouble(); ,EXPRESSION_STATEMENT, line no: 67, 0.027166666666666665, insert, 1.0, 3.0, 1.0
D.value=scanner.nextDouble(); ,EXPRESSION_STATEMENT, line no: 68,D.value=scanner.nextDouble(); ,EXPRESSION_STATEMENT, line no: 68, 0.027166666666666665, insert, 1.0, 3.0, 1.0
output+=(String.format("Thank you. Now enter student score (percent) > ")); ,EXPRESSION_STATEMENT, line no: 69,output+=(String.format("Thank you. Now enter student score (percent) > ")); ,EXPRESSION_STATEMENT, line no: 69, 0.027166666666666665, insert, 1.0, 1.0, 1.0
score.value=scanner.nextDouble(); ,EXPRESSION_STATEMENT, line no: 71,score.value=scanner.nextDouble(); ,EXPRESSION_STATEMENT, line no: 71, 0.027166666666666665, insert, 1.0, 3.0, 1.0
A.value=scanner.nextDouble(); ,EXPRESSION_STATEMENT, line no: 65,B.value=scanner.nextDouble(); ,EXPRESSION_STATEMENT, line no: 66, 0.026623333333333332, insert, 1.0, 1.5, 0.9666666666666667
A.value=scanner.nextDouble(); ,EXPRESSION_STATEMENT, line no: 65,C.value=scanner.nextDouble(); ,EXPRESSION_STATEMENT, line no: 67, 0.026623333333333332, insert, 1.0, 1.5, 0.9666666666666667
A.value=scanner.nextDouble(); ,EXPRESSION_STATEMENT, line no: 65,D.value=scanner.nextDouble(); ,EXPRESSION_STATEMENT, line no: 68, 0.026623333333333332, insert, 1.0, 1.5, 0.9666666666666667
B.value=scanner.nextDouble(); ,EXPRESSION_STATEMENT, line no: 66,A.value=scanner.nextDouble(); ,EXPRESSION_STATEMENT, line no: 65, 0.026623333333333332, insert, 1.0, 1.5, 0.9666666666666667
B.value=scanner.nextDouble(); ,EXPRESSION_STATEMENT, line no: 66,C.value=scanner.nextDouble(); ,EXPRESSION_STATEMENT, line no: 67, 0.026623333333333332, insert, 1.0, 1.5, 0.9666666666666667
B.value=scanner.nextDouble(); ,EXPRESSION_STATEMENT, line no: 66,D.value=scanner.nextDouble(); ,EXPRESSION_STATEMENT, line no: 68, 0.026623333333333332, insert, 1.0, 1.5, 0.9666666666666667
C.value=scanner.nextDouble(); ,EXPRESSION_STATEMENT, line no: 67,A.value=scanner.nextDouble(); ,EXPRESSION_STATEMENT, line no: 65, 0.026623333333333332, insert, 1.0, 1.5, 0.9666666666666667
C.value=scanner.nextDouble(); ,EXPRESSION_STATEMENT, line no: 67,B.value=scanner.nextDouble(); ,EXPRESSION_STATEMENT, line no: 66, 0.026623333333333332, insert, 1.0, 1.5, 0.9666666666666667
C.value=scanner.nextDouble(); ,EXPRESSION_STATEMENT, line no: 67,D.value=scanner.nextDouble(); ,EXPRESSION_STATEMENT, line no: 68, 0.026623333333333332, insert, 1.0, 1.5, 0.9666666666666667
D.value=scanner.nextDouble(); ,EXPRESSION_STATEMENT, line no: 68,A.value=scanner.nextDouble(); ,EXPRESSION_STATEMENT, line no: 65, 0.026623333333333332, insert, 1.0, 1.5, 0.9666666666666667
D.value=scanner.nextDouble(); ,EXPRESSION_STATEMENT, line no: 68,B.value=scanner.nextDouble(); ,EXPRESSION_STATEMENT, line no: 66, 0.026623333333333332, insert, 1.0, 1.5, 0.9666666666666667
D.value=scanner.nextDouble(); ,EXPRESSION_STATEMENT, line no: 68,C.value=scanner.nextDouble(); ,EXPRESSION_STATEMENT, line no: 67, 0.026623333333333332, insert, 1.0, 1.5, 0.9666666666666667
