output+=(String.format("\n")); ,EXPRESSION_STATEMENT, line no: 62,output+=(String.format("\n")); ,EXPRESSION_STATEMENT, line no: 62, 0.024298605355497715, insert, 1.0, 1.0, 1.0
output+=(String.format("Enter an integer > ")); ,EXPRESSION_STATEMENT, line no: 63,output+=(String.format("Enter an integer > ")); ,EXPRESSION_STATEMENT, line no: 63, 0.024298605355497715, insert, 1.0, 1.0, 1.0
integer.value=scanner.nextInt(); ,EXPRESSION_STATEMENT, line no: 64,integer.value=scanner.nextInt(); ,EXPRESSION_STATEMENT, line no: 64, 0.024298605355497715, insert, 1.0, 3.0, 1.0
output+=(String.format("\n")); ,EXPRESSION_STATEMENT, line no: 65,output+=(String.format("\n")); ,EXPRESSION_STATEMENT, line no: 62, 0.024298605355497715, insert, 1.0, 1.0, 1.0
output+=(String.format("That's all  have a nice day!\n")); ,EXPRESSION_STATEMENT, line no: 71,output+=(String.format("That's all  have a nice day!\n")); ,EXPRESSION_STATEMENT, line no: 71, 0.024298605355497715, insert, 1.0, 1.0, 1.0
output+=(String.format("Enter an integer > ")); ,EXPRESSION_STATEMENT, line no: 63,output+=(String.format("That's all  have a nice day!\n")); ,EXPRESSION_STATEMENT, line no: 71, 0.01886230720816602, insert, 1.0, 1.0, 0.6271186440677966
output+=(String.format("That's all  have a nice day!\n")); ,EXPRESSION_STATEMENT, line no: 71,output+=(String.format("Enter an integer > ")); ,EXPRESSION_STATEMENT, line no: 63, 0.01886230720816602, insert, 1.0, 1.0, 0.6271186440677966
output+=(String.format("\n")); ,EXPRESSION_STATEMENT, line no: 62,output+=(String.format("Enter an integer > ")); ,EXPRESSION_STATEMENT, line no: 63, 0.01883141915051073, insert, 1.0, 1.0, 0.625
output+=(String.format("Enter an integer > ")); ,EXPRESSION_STATEMENT, line no: 63,output+=(String.format("\n")); ,EXPRESSION_STATEMENT, line no: 62, 0.01883141915051073, insert, 1.0, 1.0, 0.625
output+=(String.format("\n")); ,EXPRESSION_STATEMENT, line no: 65,output+=(String.format("Enter an integer > ")); ,EXPRESSION_STATEMENT, line no: 63, 0.01883141915051073, insert, 1.0, 1.0, 0.625
output+=(String.format("\n")); ,EXPRESSION_STATEMENT, line no: 62,output+=(String.format("That's all  have a nice day!\n")); ,EXPRESSION_STATEMENT, line no: 71, 0.017379680440711927, insert, 1.0, 1.0, 0.5254237288135594
output+=(String.format("\n")); ,EXPRESSION_STATEMENT, line no: 65,output+=(String.format("That's all  have a nice day!\n")); ,EXPRESSION_STATEMENT, line no: 71, 0.017379680440711927, insert, 1.0, 1.0, 0.5254237288135594
output+=(String.format("That's all  have a nice day!\n")); ,EXPRESSION_STATEMENT, line no: 71,output+=(String.format("\n")); ,EXPRESSION_STATEMENT, line no: 62, 0.017379680440711927, insert, 1.0, 1.0, 0.5254237288135594
output+=(String.format("\n")); ,EXPRESSION_STATEMENT, line no: 62,integer.value=scanner.nextInt(); ,EXPRESSION_STATEMENT, line no: 64, 0.014137370388653215, insert, 1.0, 0.0, 0.30303030303030304
integer.value=scanner.nextInt(); ,EXPRESSION_STATEMENT, line no: 64,output+=(String.format("\n")); ,EXPRESSION_STATEMENT, line no: 62, 0.014137370388653215, insert, 1.0, 0.0, 0.30303030303030304
output+=(String.format("\n")); ,EXPRESSION_STATEMENT, line no: 65,integer.value=scanner.nextInt(); ,EXPRESSION_STATEMENT, line no: 64, 0.014137370388653215, insert, 1.0, 0.0, 0.30303030303030304
output+=(String.format("Enter an integer > ")); ,EXPRESSION_STATEMENT, line no: 63,integer.value=scanner.nextInt(); ,EXPRESSION_STATEMENT, line no: 64, 0.013971698079411189, insert, 1.0, 0.0, 0.2916666666666667
integer.value=scanner.nextInt(); ,EXPRESSION_STATEMENT, line no: 64,output+=(String.format("Enter an integer > ")); ,EXPRESSION_STATEMENT, line no: 63, 0.013971698079411189, insert, 1.0, 0.0, 0.2916666666666667
