String,SIMPLE_NAME, line no: 82,String,SIMPLE_NAME, line no: 49, 0.0313, insert, 0.625, 0.0, 1.0
format,SIMPLE_NAME, line no: 82,format,SIMPLE_NAME, line no: 64, 0.0313, insert, 1.0, 0.0, 1.0
grade_a.value=scanner.nextDouble(); ,EXPRESSION_STATEMENT, line no: 66,grade_a.value=scanner.nextDouble(); ,EXPRESSION_STATEMENT, line no: 66, 0.027166666666666665, insert, 1.0, 3.0, 1.0
grade_b.value=scanner.nextDouble(); ,EXPRESSION_STATEMENT, line no: 67,grade_b.value=scanner.nextDouble(); ,EXPRESSION_STATEMENT, line no: 67, 0.027166666666666665, insert, 1.0, 3.0, 1.0
grade_c.value=scanner.nextDouble(); ,EXPRESSION_STATEMENT, line no: 68,grade_c.value=scanner.nextDouble(); ,EXPRESSION_STATEMENT, line no: 68, 0.027166666666666665, insert, 1.0, 3.0, 1.0
grade_d.value=scanner.nextDouble(); ,EXPRESSION_STATEMENT, line no: 69,grade_d.value=scanner.nextDouble(); ,EXPRESSION_STATEMENT, line no: 69, 0.027166666666666665, insert, 1.0, 3.0, 1.0
output+=(String.format("Thank you. Now enter student score (percent) >")); ,EXPRESSION_STATEMENT, line no: 70,output+=(String.format("Thank you. Now enter student score (percent) >")); ,EXPRESSION_STATEMENT, line no: 70, 0.027166666666666665, insert, 1.0, 1.0, 1.0
student_score.value=scanner.nextDouble(); ,EXPRESSION_STATEMENT, line no: 72,student_score.value=scanner.nextDouble(); ,EXPRESSION_STATEMENT, line no: 72, 0.027166666666666665, insert, 1.0, 3.0, 1.0
grade_a.value=scanner.nextDouble(); ,EXPRESSION_STATEMENT, line no: 66,grade_b.value=scanner.nextDouble(); ,EXPRESSION_STATEMENT, line no: 67, 0.026713888888888888, insert, 1.0, 1.5, 0.9722222222222222
grade_a.value=scanner.nextDouble(); ,EXPRESSION_STATEMENT, line no: 66,grade_c.value=scanner.nextDouble(); ,EXPRESSION_STATEMENT, line no: 68, 0.026713888888888888, insert, 1.0, 1.5, 0.9722222222222222
grade_a.value=scanner.nextDouble(); ,EXPRESSION_STATEMENT, line no: 66,grade_d.value=scanner.nextDouble(); ,EXPRESSION_STATEMENT, line no: 69, 0.026713888888888888, insert, 1.0, 1.5, 0.9722222222222222
grade_b.value=scanner.nextDouble(); ,EXPRESSION_STATEMENT, line no: 67,grade_a.value=scanner.nextDouble(); ,EXPRESSION_STATEMENT, line no: 66, 0.026713888888888888, insert, 1.0, 1.5, 0.9722222222222222
grade_b.value=scanner.nextDouble(); ,EXPRESSION_STATEMENT, line no: 67,grade_c.value=scanner.nextDouble(); ,EXPRESSION_STATEMENT, line no: 68, 0.026713888888888888, insert, 1.0, 1.5, 0.9722222222222222
grade_b.value=scanner.nextDouble(); ,EXPRESSION_STATEMENT, line no: 67,grade_d.value=scanner.nextDouble(); ,EXPRESSION_STATEMENT, line no: 69, 0.026713888888888888, insert, 1.0, 1.5, 0.9722222222222222
grade_c.value=scanner.nextDouble(); ,EXPRESSION_STATEMENT, line no: 68,grade_a.value=scanner.nextDouble(); ,EXPRESSION_STATEMENT, line no: 66, 0.026713888888888888, insert, 1.0, 1.5, 0.9722222222222222
grade_c.value=scanner.nextDouble(); ,EXPRESSION_STATEMENT, line no: 68,grade_b.value=scanner.nextDouble(); ,EXPRESSION_STATEMENT, line no: 67, 0.026713888888888888, insert, 1.0, 1.5, 0.9722222222222222
grade_c.value=scanner.nextDouble(); ,EXPRESSION_STATEMENT, line no: 68,grade_d.value=scanner.nextDouble(); ,EXPRESSION_STATEMENT, line no: 69, 0.026713888888888888, insert, 1.0, 1.5, 0.9722222222222222
grade_d.value=scanner.nextDouble(); ,EXPRESSION_STATEMENT, line no: 69,grade_a.value=scanner.nextDouble(); ,EXPRESSION_STATEMENT, line no: 66, 0.026713888888888888, insert, 1.0, 1.5, 0.9722222222222222
grade_d.value=scanner.nextDouble(); ,EXPRESSION_STATEMENT, line no: 69,grade_b.value=scanner.nextDouble(); ,EXPRESSION_STATEMENT, line no: 67, 0.026713888888888888, insert, 1.0, 1.5, 0.9722222222222222
