output+=(String.format("\nEnter an integer > ")); ,EXPRESSION_STATEMENT, line no: 61,output+=(String.format("\nEnter an integer > ")); ,EXPRESSION_STATEMENT, line no: 61, 0.02178179121586259, insert, 1.0, 1.0, 1.0
num.value=scanner.nextInt(); ,EXPRESSION_STATEMENT, line no: 62,num.value=scanner.nextInt(); ,EXPRESSION_STATEMENT, line no: 62, 0.02178179121586259, insert, 1.0, 3.0, 1.0
digit.value=Math.abs(num.value) % 10; ,EXPRESSION_STATEMENT, line no: 63,digit.value=Math.abs(num.value) % 10; ,EXPRESSION_STATEMENT, line no: 63, 0.02178179121586259, insert, 1.0, 3.0, 1.0
output+=(String.format("\nThat's all  have a nice day!\n")); ,EXPRESSION_STATEMENT, line no: 96,output+=(String.format("\nThat's all  have a nice day!\n")); ,EXPRESSION_STATEMENT, line no: 96, 0.02178179121586259, insert, 1.0, 1.0, 1.0
output+=(String.format("\nEnter an integer > ")); ,EXPRESSION_STATEMENT, line no: 61,output+=(String.format("\nThat's all  have a nice day!\n")); ,EXPRESSION_STATEMENT, line no: 96, 0.017068354428167735, insert, 1.0, 1.0, 0.639344262295082
output+=(String.format("\nThat's all  have a nice day!\n")); ,EXPRESSION_STATEMENT, line no: 96,output+=(String.format("\nEnter an integer > ")); ,EXPRESSION_STATEMENT, line no: 61, 0.017068354428167735, insert, 1.0, 1.0, 0.639344262295082
num.value=scanner.nextInt(); ,EXPRESSION_STATEMENT, line no: 62,digit.value=Math.abs(num.value) % 10; ,EXPRESSION_STATEMENT, line no: 63, 0.013527638755114662, insert, 1.0, 1.5, 0.3684210526315789
digit.value=Math.abs(num.value) % 10; ,EXPRESSION_STATEMENT, line no: 63,num.value=scanner.nextInt(); ,EXPRESSION_STATEMENT, line no: 62, 0.013527638755114662, insert, 1.0, 1.5, 0.3684210526315789
digit.value=Math.abs(num.value) % 10; ,EXPRESSION_STATEMENT, line no: 63,num.value=Math.abs(num.value); ,EXPRESSION_STATEMENT, line no: 65, 0.013221617456399857, insert, 0.4122448979591837, 1.3333333333333333, 0.7368421052631579
digit.value=Math.abs(num.value) % 10; ,EXPRESSION_STATEMENT, line no: 63,digit.value=num.value % 10; ,EXPRESSION_STATEMENT, line no: 67, 0.012581499510464304, insert, 0.33877551020408164, 3.0, 0.7368421052631579
output+=(String.format("\nEnter an integer > ")); ,EXPRESSION_STATEMENT, line no: 61,num.value=scanner.nextInt(); ,EXPRESSION_STATEMENT, line no: 62, 0.012372057410609953, insert, 1.0, 0.0, 0.28
output+=(String.format("\nEnter an integer > ")); ,EXPRESSION_STATEMENT, line no: 61,digit.value=Math.abs(num.value) % 10; ,EXPRESSION_STATEMENT, line no: 63, 0.012372057410609953, insert, 1.0, 0.0, 0.28
num.value=scanner.nextInt(); ,EXPRESSION_STATEMENT, line no: 62,output+=(String.format("\nEnter an integer > ")); ,EXPRESSION_STATEMENT, line no: 61, 0.012372057410609953, insert, 1.0, 0.0, 0.28
digit.value=Math.abs(num.value) % 10; ,EXPRESSION_STATEMENT, line no: 63,output+=(String.format("\nEnter an integer > ")); ,EXPRESSION_STATEMENT, line no: 61, 0.012372057410609953, insert, 1.0, 0.0, 0.28
digit.value=Math.abs(num.value) % 10; ,EXPRESSION_STATEMENT, line no: 63,output+=(String.format("\nThat's all  have a nice day!\n")); ,EXPRESSION_STATEMENT, line no: 96, 0.011926423387046076, insert, 1.0, 0.0, 0.2459016393442623
output+=(String.format("\nThat's all  have a nice day!\n")); ,EXPRESSION_STATEMENT, line no: 96,digit.value=Math.abs(num.value) % 10; ,EXPRESSION_STATEMENT, line no: 63, 0.011926423387046076, insert, 1.0, 0.0, 0.2459016393442623
num.value=scanner.nextInt(); ,EXPRESSION_STATEMENT, line no: 62,output+=(String.format("\nThat's all  have a nice day!\n")); ,EXPRESSION_STATEMENT, line no: 96, 0.011283682006905866, insert, 1.0, 0.0, 0.19672131147540983
output+=(String.format("\nThat's all  have a nice day!\n")); ,EXPRESSION_STATEMENT, line no: 96,num.value=scanner.nextInt(); ,EXPRESSION_STATEMENT, line no: 62, 0.011283682006905866, insert, 1.0, 0.0, 0.19672131147540983
