output+=(String.format("Enter thresholds for A  B  C  D")); ,EXPRESSION_STATEMENT, line no: 63,output+=(String.format("Enter thresholds for A  B  C  D")); ,EXPRESSION_STATEMENT, line no: 63, 0.06654447134560967, insert, 1.0, 1.0, 1.0
output+=(String.format("\nin that order  decreasing percentages > ")); ,EXPRESSION_STATEMENT, line no: 64,output+=(String.format("\nin that order  decreasing percentages > ")); ,EXPRESSION_STATEMENT, line no: 64, 0.06654447134560967, insert, 1.0, 1.0, 1.0
n1.value=scanner.nextFloat(); ,EXPRESSION_STATEMENT, line no: 66,n1.value=scanner.nextFloat(); ,EXPRESSION_STATEMENT, line no: 66, 0.06654447134560967, insert, 1.0, 3.0, 1.0
n2.value=scanner.nextFloat(); ,EXPRESSION_STATEMENT, line no: 67,n2.value=scanner.nextFloat(); ,EXPRESSION_STATEMENT, line no: 67, 0.06654447134560967, insert, 1.0, 3.0, 1.0
n3.value=scanner.nextFloat(); ,EXPRESSION_STATEMENT, line no: 68,n3.value=scanner.nextFloat(); ,EXPRESSION_STATEMENT, line no: 68, 0.06654447134560967, insert, 1.0, 3.0, 1.0
n4.value=scanner.nextFloat(); ,EXPRESSION_STATEMENT, line no: 69,n4.value=scanner.nextFloat(); ,EXPRESSION_STATEMENT, line no: 69, 0.06654447134560967, insert, 1.0, 3.0, 1.0
output+=(String.format("Thank you. Now enter student score (percent) >")); ,EXPRESSION_STATEMENT, line no: 70,output+=(String.format("Thank you. Now enter student score (percent) >")); ,EXPRESSION_STATEMENT, line no: 70, 0.06654447134560967, insert, 1.0, 1.0, 1.0
perc.value=scanner.nextFloat(); ,EXPRESSION_STATEMENT, line no: 72,perc.value=scanner.nextFloat(); ,EXPRESSION_STATEMENT, line no: 72, 0.06654447134560967, insert, 1.0, 3.0, 1.0
n1.value=scanner.nextFloat(); ,EXPRESSION_STATEMENT, line no: 66,n2.value=scanner.nextFloat(); ,EXPRESSION_STATEMENT, line no: 67, 0.06521358191869749, insert, 1.0, 1.5, 0.9666666666666667
n1.value=scanner.nextFloat(); ,EXPRESSION_STATEMENT, line no: 66,n3.value=scanner.nextFloat(); ,EXPRESSION_STATEMENT, line no: 68, 0.06521358191869749, insert, 1.0, 1.5, 0.9666666666666667
n1.value=scanner.nextFloat(); ,EXPRESSION_STATEMENT, line no: 66,n4.value=scanner.nextFloat(); ,EXPRESSION_STATEMENT, line no: 69, 0.06521358191869749, insert, 1.0, 1.5, 0.9666666666666667
n2.value=scanner.nextFloat(); ,EXPRESSION_STATEMENT, line no: 67,n1.value=scanner.nextFloat(); ,EXPRESSION_STATEMENT, line no: 66, 0.06521358191869749, insert, 1.0, 1.5, 0.9666666666666667
n2.value=scanner.nextFloat(); ,EXPRESSION_STATEMENT, line no: 67,n3.value=scanner.nextFloat(); ,EXPRESSION_STATEMENT, line no: 68, 0.06521358191869749, insert, 1.0, 1.5, 0.9666666666666667
